idx,case,question,gate,composable,reason,hardcoded,tags
"1","AS01-今年各月退款金额趋势","今年每个月的售后退款金额是多少？","⑤ ","0","⑤ 残留守卫：命中「退款额」×「月份」，但剥掉两者的名/别名与通用虚词后仍有实义残留 → 问句含装配器表达不了的限定（实体名/值过滤/显式年份/单位词）","","趋势;分组;时间;聚合"
"2","AS02-今年售后单完成率","今年的售后单里已经处理完成的占比是多少？","① ","0","① 指标不命中（问句里没有任何已声明指标的名/别名）","","派生指标;占比;码值筛选;去重计数"
"3","AS03-今年退货类售后单数与退款额","今年退货类型的售后单有多少单，一共申请退款多少钱？","② ","0","② 装配器拒（指标 only，「售后单数」）—— 口径/聚合含子查询、来源含 UNION、去重键不全、时间窗放不下（声明的 time_col 不在基表且桥不到），或残留守卫拦","","码值筛选;口径;聚合;去重计数"
"4","AS04-今年退款金额占销售额比例","今年售后退款金额占销售额的比例是多少？","② ","0","② 装配器拒（指标 only，「退款占比」）—— 口径/聚合含子查询、来源含 UNION、去重键不全、时间窗放不下（声明的 time_col 不在基表且桥不到），或残留守卫拦","","派生指标;跨表;占比;口径"
"5","E01-本月销售额","本月销售额是多少","⓿ ","0","⓿ 让路给硬编码模板（`agg_template`）—— 数与 KPI 环比以模板为准，这是刻意的","⚙ 硬编码兜底：agg_template（无维度·四指标写死）","聚合;时间;金额口径"
"6","E02-本月订单数","本月有多少个订单","✅ ","1","✅ 可装配（指标 only）：「订单数」","","聚合;时间;去重计数"
"7","E03-各省销售额","本月各省销售额","✅ ","1","✅ 可装配：「销售额」×「省份」","⚙ 硬编码兜底：sales_breakdown（销售额×六维度写死）","分组;跨表;时间"
"8","E04-成交客户数","本月成交客户数","✅ ","1","✅ 可装配：「成交客户数」×「客户」","⚙ 硬编码兜底：agg_template（无维度·四指标写死）","聚合;术语;去重计数"
"9","E05-销量按商品分类","本月各商品分类销量","✅ ","1","✅ 可装配：「销量」×「商品分类」","","分组;明细口径;去重;跨表"
"10","E06-客户销售额TOP10","本月销售额前10的客户","✅ ","1","✅ 可装配：「销售额」×「客户」","⚙ 硬编码兜底：sales_breakdown（销售额×六维度写死）","排行;TopN;分组"
"11","E07-库存量最新快照","现在总库存量是多少","② ","0","② 装配器拒（指标 only，「库存量」）—— 口径/聚合含子查询、来源含 UNION、去重键不全、时间窗放不下（声明的 time_col 不在基表且桥不到），或残留守卫拦","","快照口径;聚合"
"12","E08-已开票金额","本月开票金额","② ","0","② 装配器拒（指标 only，「开票金额」）—— 口径/聚合含子查询、来源含 UNION、去重键不全、时间窗放不下（声明的 time_col 不在基表且桥不到），或残留守卫拦","","码值筛选;聚合;时间"
"13","E09-售后单数","本月售后单有多少","✅ ","1","✅ 可装配（指标 only）：「售后单数」","","聚合;去重计数;时间"
"14","E10-客单价","本月客单价","⓿ ","0","⓿ 让路给硬编码模板（`agg_template`）—— 数与 KPI 环比以模板为准，这是刻意的","⚙ 硬编码兜底：agg_template（无维度·四指标写死）","派生指标;术语"
"15","E11-权限隔离-城市经理销售额","本月销售额是多少","⓿ ","0","⓿ 让路给硬编码模板（`agg_template`）—— 数与 KPI 环比以模板为准，这是刻意的","⚙ 硬编码兜底：agg_template（无维度·四指标写死）","权限;聚合"
"16","E12-上月销售额","上月销售额","⓿ ","0","⓿ 让路给硬编码模板（`agg_template`）—— 数与 KPI 环比以模板为准，这是刻意的","⚙ 硬编码兜底：agg_template（无维度·四指标写死）","时间;聚合"
"17","FIN01-今年开票金额TOP10客户","今年开票金额最多的前10个客户是哪些，各开了多少","⑤ ","0","⑤ 残留守卫：命中「开票金额」×「客户」，但剥掉两者的名/别名与通用虚词后仍有实义残留 → 问句含装配器表达不了的限定（实体名/值过滤/显式年份/单位词）","","排行;TopN;口径;码值筛选;跨表;时间"
"18","FIN02-账户余额TOP10客户","目前账户余额最高的10个客户是谁，各有多少余额","⑤ ","0","⑤ 残留守卫：命中「账户余额」×「客户」，但剥掉两者的名/别名与通用虚词后仍有实义残留 → 问句含装配器表达不了的限定（实体名/值过滤/显式年份/单位词）","","排行;TopN;快照口径;去重;跨表"
"19","FIN03-待确认对账单张数与金额","目前还有多少张对账单处于待确认状态，涉及金额一共多少","① ","0","① 指标不命中（问句里没有任何已声明指标的名/别名）","","聚合;码值筛选;口径;去重计数"
"20","FIN04-有信控余额的客户清单","目前哪些客户还有信控余额，各剩多少","⑤ ","0","⑤ 残留守卫：命中「信控余额」×「客户」，但剥掉两者的名/别名与通用虚词后仍有实义残留 → 问句含装配器表达不了的限定（实体名/值过滤/显式年份/单位词）","","明细;快照口径;码值筛选;跨表"
"21","GOODS13-上半年月度销量趋势","2026年上半年每个月的销量是多少箱","✅ ","1","✅ 可装配：「销量」×「月份」","","趋势;时间;去重;口径;跨表;分组"
"22","GOODS14-六月赠品箱数","2026年6月我们送出去的赠品有多少箱","✅ ","1","✅ 可装配（指标 only）：「赠品箱数」","","聚合;码值筛选;去重;口径;时间"
"23","GOODS15-六月动销商品数","2026年6月动销商品有多少个","✅ ","1","✅ 可装配（指标 only）：「动销商品数」","","去重计数;口径;时间;跨表"
"24","GOODS16-六月手抓饼分类销量","2026年6月手抓饼这个分类卖了多少箱","② ","0","② 装配器拒（指标 only，「销量」）—— 口径/聚合含子查询、来源含 UNION、去重键不全、时间窗放不下（声明的 time_col 不在基表且桥不到），或残留守卫拦","","聚合;跨表;口径;去重;码值筛选"
"25","GOODS17-六月分类销量Top5","2026年6月销量最高的5个商品分类是哪些","✅ ","1","✅ 可装配：「销量」×「商品分类」","","排行;TopN;分组;去重;跨表;口径"
"26","MKT01-市场费用Top5费用项目","今年市场费用花得最多的前5个费用项目是哪些？各花了多少钱？","② ","0","② 装配器拒（指标 only，「市场费用」）—— 口径/聚合含子查询、来源含 UNION、去重键不全、时间窗放不下（声明的 time_col 不在基表且桥不到），或残留守卫拦","","排行;TopN;分组;口径;时间"
"27","MKT02-大型活动场次","大型活动一共办了多少场？","① ","0","① 指标不命中（问句里没有任何已声明指标的名/别名）","","码值筛选;去重计数;口径"
"28","MKT03-活动临促人员费用","今年活动临促人员的费用一共花了多少钱？","① ","0","① 指标不命中（问句里没有任何已声明指标的名/别名）","","聚合;口径;时间"
"29","MKT04-本月活动执行人员费用","这个月活动执行人员的费用是多少？","① ","0","① 指标不命中（问句里没有任何已声明指标的名/别名）","","聚合;时间;口径"
"30","PERM01-城市经理今年售后单数","今年售后单有多少","✅ ","1","✅ 可装配（指标 only）：「售后单数」","","权限;时间;去重计数"
"31","PERM02-城市经理可见客户数","现在系统里一共有多少家客户","① ","0","① 指标不命中（问句里没有任何已声明指标的名/别名）","","权限;聚合;口径"
"32","SALE13-各业务员销售额","本月各业务员的销售额是多少","✅ ","1","✅ 可装配：「销售额」×「业务员」","⚙ 硬编码兜底：sales_breakdown（销售额×六维度写死）","分组;跨表;时间;聚合"
"33","SALE14-今年月度销售趋势","今年每个月的销售额趋势","⑤ ","0","⑤ 残留守卫：命中「销售额」×「月份」，但剥掉两者的名/别名与通用虚词后仍有实义残留 → 问句含装配器表达不了的限定（实体名/值过滤/显式年份/单位词）","","趋势;时间;分组;聚合"
"34","SALE15-本月销量TOP10商品","本月卖得最好的10个商品是哪些","① ","0","① 指标不命中（问句里没有任何已声明指标的名/别名）","","排行;TopN;去重;明细;口径"
"35","SALE16-销售额环比","本月销售额比上月增长了百分之多少","② ","0","② 装配器拒（指标 only，「销售额」）—— 口径/聚合含子查询、来源含 UNION、去重键不全、时间窗放不下（声明的 time_col 不在基表且桥不到），或残留守卫拦","","派生指标;时间;聚合"
"36","SALE17-湖南省销售额","本月湖南省的销售额是多少","✅ ","1","✅ 可装配（指标 only）：「销售额」","","跨表;码值筛选;时间;聚合"
"37","STK01-仓库库存金额TOP10","目前哪个仓库的库存金额最高？给我看前10名","② ","0","② 装配器拒（指标 only，「库存金额」）—— 口径/聚合含子查询、来源含 UNION、去重键不全、时间窗放不下（声明的 time_col 不在基表且桥不到），或残留守卫拦","","快照口径;排行;TopN;聚合"
"38","STK02-各省库存金额","各省份现在的库存金额分别是多少","④ ","0","④ 装配器拒绝：「库存金额」×「省份」（含 SELECT 的口径 / 多流来源 / UNION / 去重键不全 / 找不到 join 路径 / 快照声明不全或与去重键并存 / 值过滤装不上）","","快照口径;分组;聚合;口径"
